y.re:-0.513760,y.im:-0.018398i
y.re:-0.513763,y.im:-0.019933i
y.re:-0.513767,y.im:-0.021468i
y.re:-0.513771,y.im:-0.023003i
y.re:-0.513775,y.im:-0.024539i
y.re:-0.513780,y.im:-0.026076i
y.re:-0.513785,y.im:-0.027613i
y.re:-0.513790,y.im:-0.029150i
y.re:-0.513796,y.im:-0.030688i
y.re:-0.513801,y.im:-0.032227i
y.re:-0.513807,y.im:-0.033766i
y.re:-0.513814,y.im:-0.035306i
y.re:-0.513820,y.im:-0.036846i
y.re:-0.513827,y.im:-0.038387i
y.re:-0.513834,y.im:-0.039929i
y.re:-0.513841,y.im:-0.041472i
y.re:-0.513849,y.im:-0.043015i
y.re:-0.513857,y.im:-0.044559i
y.re:-0.513865,y.im:-0.046105i
y.re:-0.513874,y.im:-0.047651i
y.re:-0.513883,y.im:-0.049198i
y.re:-0.513892,y.im:-0.050745i
y.re:-0.513901,y.im:-0.052294i
y.re:-0.513911,y.im:-0.053844i
y.re:-0.513921,y.im:-0.055395i
y.re:-0.513931,y.im:-0.056947i
y.re:-0.513942,y.im:-0.058500i
y.re:-0.513953,y.im:-0.060054i
y.re:-0.513964,y.im:-0.061609i
y.re:-0.513976,y.im:-0.063166i
y.re:-0.513987,y.im:-0.064723i
y.re:-0.513999,y.im:-0.066282i
y.re:-0.514012,y.im:-0.067842i
y.re:-0.514024,y.im:-0.069404i
y.re:-0.514037,y.im:-0.070967i
y.re:-0.514051,y.im:-0.072531i
y.re:-0.514064,y.im:-0.074096i
y.re:-0.514078,y.im:-0.075663i
y.re:-0.514092,y.im:-0.077232i
y.re:-0.514107,y.im:-0.078802i
y.re:-0.514122,y.im:-0.080373i
y.re:-0.514137,y.im:-0.081946i
y.re:-0.514152,y.im:-0.083521i
y.re:-0.514168,y.im:-0.085097i
y.re:-0.514184,y.im:-0.086675i
y.re:-0.514200,y.im:-0.088255i
y.re:-0.514217,y.im:-0.089836i
y.re:-0.514234,y.im:-0.091419i
y.re:-0.514251,y.im:-0.093004i
y.re:-0.514268,y.im:-0.094591i
y.re:-0.514286,y.im:-0.096179i
y.re:-0.514305,y.im:-0.097770i
y.re:-0.514323,y.im:-0.099362i
y.re:-0.514342,y.im:-0.100956i
y.re:-0.514361,y.im:-0.102552i
y.re:-0.514381,y.im:-0.104151i
y.re:-0.514401,y.im:-0.105751i
y.re:-0.514421,y.im:-0.107353i
y.re:-0.514441,y.im:-0.108958i
y.re:-0.514462,y.im:-0.110565i
y.re:-0.514483,y.im:-0.112173i
y.re:-0.514505,y.im:-0.113785i
y.re:-0.514527,y.im:-0.115398i
y.re:-0.514549,y.im:-0.117014i
y.re:-0.514571,y.im:-0.118632i
y.re:-0.514594,y.im:-0.120252i
y.re:-0.514617,y.im:-0.121875i
y.re:-0.514641,y.im:-0.123500i
y.re:-0.514665,y.im:-0.125128i
y.re:-0.514689,y.im:-0.126758i
y.re:-0.514714,y.im:-0.128390i
y.re:-0.514739,y.im:-0.130026i
y.re:-0.514764,y.im:-0.131664i
y.re:-0.514790,y.im:-0.133304i
y.re:-0.514816,y.im:-0.134948i
y.re:-0.514842,y.im:-0.136594i
y.re:-0.514869,y.im:-0.138242i
y.re:-0.514896,y.im:-0.139894i
y.re:-0.514924,y.im:-0.141549i
y.re:-0.514951,y.im:-0.143206i
y.re:-0.514980,y.im:-0.144866i
y.re:-0.515008,y.im:-0.146529i
y.re:-0.515037,y.im:-0.148196i
y.re:-0.515067,y.im:-0.149865i
y.re:-0.515096,y.im:-0.151537i
y.re:-0.515127,y.im:-0.153213i
y.re:-0.515157,y.im:-0.154892i
y.re:-0.515188,y.im:-0.156573i
y.re:-0.515219,y.im:-0.158259i
y.re:-0.515251,y.im:-0.159947i
y.re:-0.515283,y.im:-0.161639i
y.re:-0.515316,y.im:-0.163334i
y.re:-0.515349,y.im:-0.165032i
y.re:-0.515382,y.im:-0.166734i
y.re:-0.515416,y.im:-0.168440i
y.re:-0.515450,y.im:-0.170149i
y.re:-0.515485,y.im:-0.171862i
y.re:-0.515520,y.im:-0.173578i
y.re:-0.515555,y.im:-0.175298i
y.re:-0.515591,y.im:-0.177021i
y.re:-0.515627,y.im:-0.178749i
y.re:-0.515664,y.im:-0.180480i
y.re:-0.515701,y.im:-0.182215i
y.re:-0.515739,y.im:-0.183954i
y.re:-0.515777,y.im:-0.185697i
y.re:-0.515815,y.im:-0.187444i
y.re:-0.515854,y.im:-0.189195i
y.re:-0.515894,y.im:-0.190950i
y.re:-0.515934,y.im:-0.192709i
y.re:-0.515974,y.im:-0.194472i
y.re:-0.516015,y.im:-0.196240i
y.re:-0.516056,y.im:-0.198012i
y.re:-0.516098,y.im:-0.199788i
y.re:-0.516140,y.im:-0.201569i
y.re:-0.516183,y.im:-0.203354i
y.re:-0.516226,y.im:-0.205143i
y.re:-0.516269,y.im:-0.206937i
y.re:-0.516314,y.im:-0.208736i
y.re:-0.516358,y.im:-0.210539i
y.re:-0.516403,y.im:-0.212347i
y.re:-0.516449,y.im:-0.214160i
y.re:-0.516495,y.im:-0.215977i
y.re:-0.516542,y.im:-0.217799i
y.re:-0.516589,y.im:-0.219627i
y.re:-0.516637,y.im:-0.221459i
y.re:-0.516685,y.im:-0.223296i
y.re:-0.516734,y.im:-0.225138i
y.re:-0.516783,y.im:-0.226986i
y.re:-0.516833,y.im:-0.228838i
y.re:-0.516884,y.im:-0.230696i
y.re:-0.516934,y.im:-0.232559i
y.re:-0.516986,y.im:-0.234427i
y.re:-0.517038,y.im:-0.236301i
y.re:-0.517091,y.im:-0.238180i
y.re:-0.517144,y.im:-0.240065i
y.re:-0.517198,y.im:-0.241955i
y.re:-0.517252,y.im:-0.243851i
y.re:-0.517307,y.im:-0.245753i
y.re:-0.517363,y.im:-0.247661i
y.re:-0.517419,y.im:-0.249574i
y.re:-0.517476,y.im:-0.251493i
y.re:-0.517533,y.im:-0.253418i
y.re:-0.517591,y.im:-0.255350i
y.re:-0.517650,y.im:-0.257287i
y.re:-0.517709,y.im:-0.259230i
y.re:-0.517769,y.im:-0.261180i
y.re:-0.517830,y.im:-0.263136i
y.re:-0.517891,y.im:-0.265098i
y.re:-0.517953,y.im:-0.267067i
y.re:-0.518015,y.im:-0.269042i
y.re:-0.518078,y.im:-0.271024i
y.re:-0.518142,y.im:-0.273012i
y.re:-0.518207,y.im:-0.275008i
y.re:-0.518272,y.im:-0.277009i
y.re:-0.518338,y.im:-0.279018i
y.re:-0.518405,y.im:-0.281034i
y.re:-0.518472,y.im:-0.283056i
y.re:-0.518540,y.im:-0.285086i
y.re:-0.518609,y.im:-0.287123i
y.re:-0.518678,y.im:-0.289167i
y.re:-0.518749,y.im:-0.291219i
y.re:-0.518820,y.im:-0.293277i
y.re:-0.518892,y.im:-0.295344i
y.re:-0.518964,y.im:-0.297417i
y.re:-0.519038,y.im:-0.299499i
y.re:-0.519112,y.im:-0.301588i
